ProductId,Name,Area,AreaImage,AreaAppBarImage,Category,CategoryImage,Price,Description,Image,XLargeImage,ThumbnailImage,Rating,Featured,Review1Text,Review1Author,Review1Title,Review2Text,Review2Author,Review2Title,Review3Text,Review3Author,Review3Title
1,Men's Green Scarf,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Scarves,http://localhost:2139/Images/Products/man_full_xlarge_1.png,29.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_3.png,4.5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,,,
2,Wool Cap,For the Head,http://localhost:2139/Images/Areas/man_area_2.png,http://localhost:2139/Images/Areas/man_appbar_2.png,Hats,http://localhost:2139/Images/Products/man_full_xlarge_4.png,29.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_head_med_4.png,3,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet
3,Men's Blue Tie,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Ties,http://localhost:2139/Images/Products/man_full_390x1123__2.png,25.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__3.png,http://localhost:2139/Images/Products/man_full_390x1123__3.png,http://localhost:2139/Images/Products/man_head_med_4.png,5,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet
4,Men's Red Tie,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Ties,http://localhost:2139/Images/Products/man_full_390x1123__2.png,25.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_head_med_2.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Consectetur Adipisicing Elit
5,Men's Coat One,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,399.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_360x390.png,4.5,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor
6,Men's Coat Two,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,359.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_4.png,4.5,FALSE,,,Consectetur Adipisicing Elit,,,,,,
7,Men's Coat Three,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Coats & Outerware,http://localhost:2139/Images/Products/man_full_xlarge_2.png,299.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_head_med_3.png,4.5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Consectetur Adipisicing Elit,,,
8,Suit Jacket,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,549.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_full_390x1123__2.png,http://localhost:2139/Images/Products/man_head_med_1.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor,,,
9,Soft Red Sweater,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Sweaters,http://localhost:2139/Images/Products/man_full_xlarge_1.png,69.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/sweater_392x1123.png,http://localhost:2139/Images/Products/sweater_392x1123.png,http://localhost:2139/Images/Products/man_head_med_2.png,5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Lorem Ipsum Dolor Sit Amet,,,
10,Blue Shirt,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Shirts,http://localhost:2139/Images/Products/man_full_390x1123__3.png,69.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_head_med_4.png,4,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Consectetur Adipisicing Elit,,,,,,
11,White Shirt,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Shirts,http://localhost:2139/Images/Products/man_full_390x1123__3.png,89.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_360x390.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor,,,,,,
12,Leather Work Jacket,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,339.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_head_med_2.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,,,
13,Double-Breasted Blazer,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,379.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/necktie_360x390.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,,,,,,
14,Denim Jacket,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,299.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_3.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Sed Do Eiumond Tempor
15,Blazer,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Jackets,http://localhost:2139/Images/Products/man_full_xlarge_4.png,299.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_390x1123__4.png,http://localhost:2139/Images/Products/man_full_390x1123__4.png,http://localhost:2139/Images/Products/man_head_med_1.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,,,,,,
16,Blue Jeans,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Jeans,http://localhost:2139/Images/Products/man_full_390x1123__4.png,99.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_leg_med_2.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,,,
17,Faded Jeans,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Jeans,http://localhost:2139/Images/Products/man_full_390x1123__4.png,89.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_leg_med_3.png,4,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor
18,Purple Jeans,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Jeans,http://localhost:2139/Images/Products/man_full_390x1123__4.png,79.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_leg_med_1.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Consectetur Adipisicing Elit,,,,,,
19,Green Jeans,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Jeans,http://localhost:2139/Images/Products/man_full_390x1123__4.png,59.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_leg_med_4.png,2,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,,,,,,
20,Sun Glasses,For the Head,http://localhost:2139/Images/Areas/man_area_2.png,http://localhost:2139/Images/Areas/man_appbar_2.png,Glasses,http://localhost:2139/Images/Products/man_full_xlarge_1.png,199.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_full_xlarge_1.png,http://localhost:2139/Images/Products/man_head_med_3.png,4,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Lorem Ipsum Dolor Sit Amet,,,,,,
21,Shades,For the Head,http://localhost:2139/Images/Areas/man_area_2.png,http://localhost:2139/Images/Areas/man_appbar_2.png,Glasses,http://localhost:2139/Images/Products/man_full_xlarge_1.png,299.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_full_xlarge_4.png,http://localhost:2139/Images/Products/man_head_med_1.png,5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Sed Do Eiumond Tempor,,,
22,Blue Hat,For the Head,http://localhost:2139/Images/Areas/man_area_2.png,http://localhost:2139/Images/Areas/man_appbar_2.png,Hats,http://localhost:2139/Images/Products/man_full_xlarge_4.png,25.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/hat_360x390.png,3,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor
23,Men's Purple Tie,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Ties,http://localhost:2139/Images/Products/man_full_390x1123__2.png,34.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/necktie_360x390.png,2,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor,,,,,,
24,Suede  Shoes,On the Sole,http://localhost:2139/Images/Areas/man_area_5.png,http://localhost:2139/Images/Areas/man_appbar_5.png,Shoes,http://localhost:2139/Images/Products/man_full_390x1123__5.png,45.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/shoes_category_2.png,http://localhost:2139/Images/Products/shoes_product_2.png,http://localhost:2139/Images/Products/shoes_177x177_2.png,4,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,,,
25,Dress Shoes,On the Sole,http://localhost:2139/Images/Areas/man_area_5.png,http://localhost:2139/Images/Areas/man_appbar_5.png,Shoes,http://localhost:2139/Images/Products/man_full_390x1123__5.png,59.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/shoes_category_1.png,http://localhost:2139/Images/Products/shoes_product_1.png,http://localhost:2139/Images/Products/shoes_177x177_1.png,5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit
26,Green Sneakers,On the Sole,http://localhost:2139/Images/Areas/man_area_5.png,http://localhost:2139/Images/Areas/man_appbar_5.png,Sneakers,http://localhost:2139/Images/Products/sneakers.png,19.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/sneakers_360x768__green.png,http://localhost:2139/Images/Products/sneakers_360x768_product_green.png,http://localhost:2139/Images/Products/sneakers_177x177.png,2,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jane Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jamie Doe,Sed Do Eiumond Tempor,,,
27,Blue Sneakers,On the Sole,http://localhost:2139/Images/Areas/man_area_5.png,http://localhost:2139/Images/Areas/man_appbar_5.png,Sneakers,http://localhost:2139/Images/Products/sneakers.png,89.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/sneakers_360x768__blue.png,http://localhost:2139/Images/Products/sneakers_360x768_product_blue.png,http://localhost:2139/Images/Products/sneakers_177x177__brown.png,5,TRUE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Sed Do Eiumond Tempor,,,,,,
28,Brown Sneakers,On the Sole,http://localhost:2139/Images/Areas/man_area_5.png,http://localhost:2139/Images/Areas/man_appbar_5.png,Sneakers,http://localhost:2139/Images/Products/sneakers.png,79.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/sneakers_360x768__brown.png,http://localhost:2139/Images/Products/sneakers_360x768_product_brown.png,http://localhost:2139/Images/Products/sneakers_177x177__blue.png,3,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Consectetur Adipisicing Elit,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Sed Do Eiumond Tempor
29,Men's Brown Scarf,Around the Neck,http://localhost:2139/Images/Areas/man_area_1.png,http://localhost:2139/Images/Areas/man_appbar_1.png,Scarves,http://localhost:2139/Images/Products/man_full_xlarge_1.png,24.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_head_med_1.png,4.5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,,,
30,Soft White Sweater,Over the Shoulder,http://localhost:2139/Images/Areas/man_area_3.png,http://localhost:2139/Images/Areas/man_appbar_3.png,Sweaters,http://localhost:2139/Images/Products/man_full_xlarge_1.png,79.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/jacket_392x1123.png,http://localhost:2139/Images/Products/hat_360x390.png,5,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jack Doe,Lorem Ipsum Dolor,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Lorem Ipsum Dolor Sit Amet,,,
31,Blue Slacks,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Pants,http://localhost:2139/Images/Products/man_full_xlarge_1.png,24.99,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_full_xlarge_3.png,http://localhost:2139/Images/Products/man_leg_med_2.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jim Doe,Lorem Ipsum Dolor Sit Amet,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",John Doe,Sed Do Eiumond Tempor,,,
33,Purple Slacks,Down the Leg,http://localhost:2139/Images/Areas/man_area_4.png,http://localhost:2139/Images/Areas/man_appbar_4.png,Pants,http://localhost:2139/Images/Products/man_full_xlarge_1.png,22.95,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_full_xlarge_2.png,http://localhost:2139/Images/Products/man_leg_med_1.png,4,FALSE,"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiumod tempor.",Jessica Doe,Consectetur Adipisicing Elit,,,,,,
